,amount,floor_number,rooms_number,size,month,year,Wartość
272,481062.5,5,2,37.42,10,2025,2.799999999999997
273,484785.0,6,2,36.3,10,2025,2.799999999999997
274,431150.0,2,2,35.09,10,2025,2.799999999999997
275,467480.0,6,2,33.99,10,2025,2.799999999999997
276,442481.0,1,2,33.45,10,2025,2.799999999999997
277,458686.0,3,2,38.68,10,2025,2.799999999999997
278,690000.0,3,3,47.77,10,2025,2.799999999999997
279,506000.0,3,1,26.61,5,2025,4.0
280,510905.24,8,2,44.75,10,2025,2.799999999999997
281,690000.0,3,2,42.26,11,2024,4.700000000000003
282,644778.3,1,2,37.63,10,2025,2.799999999999997
283,580000.0,4,2,38.53,10,2025,2.799999999999997
284,430000.0,3,1,29.54,10,2025,2.799999999999997
285,690000.0,1,2,46.61,10,2025,2.799999999999997
286,580000.0,1,3,41.04,10,2025,2.799999999999997
287,805000.0,2,4,59.77,10,2025,2.799999999999997
288,610000.0,3,2,38.6,10,2025,2.799999999999997
289,800000.0,1,3,55.78,10,2025,2.799999999999997
290,1170000.0,4,4,63.55,10,2025,2.799999999999997
291,1000000.0,2,3,54.8,6,2017,1.5
292,675000.0,10,3,37.5,9,2024,4.900000000000006
293,715000.0,5,3,47.35,10,2025,2.799999999999997
294,770000.0,8,3,36.7,1,2024,3.700000000000003
295,513000.0,3,2,31.8,10,2025,2.799999999999997
296,780000.0,5,2,38.8,10,2025,2.799999999999997
297,730000.0,3,2,44.34,10,2025,2.799999999999997
298,550000.0,5,3,43.0,10,2025,2.799999999999997
299,760000.0,5,2,36.84,10,2025,2.799999999999997
300,695000.0,4,3,47.15,10,2025,2.799999999999997
301,1255000.0,4,4,96.13,10,2025,2.799999999999997
302,490000.0,4,1,31.0,10,2025,2.799999999999997
303,990000.0,1,3,51.9,10,2025,2.799999999999997
304,900000.0,4,3,69.59,10,2025,2.799999999999997
305,620000.0,5,3,48.71,10,2025,2.799999999999997
306,590000.0,3,4,49.3,10,2025,2.799999999999997
307,997000.0,3,2,53.21,10,2025,2.799999999999997
